Species	Overdispersion	Epsilon_Alpha_rho	Epsilon_Alpha_rho_p	Alpha_Tau_rho	Alpha_Tau_rho_p	mdn_Alph	mdn_Alph_ll	mdn_Alph_ul	mdn_Alph_iw	mdn_Eps	mdn_Eps_ll	mdn_Eps_ul	mdn_Eps_iw	mdn_Tau	mdn_Tau_ll	mdn_Tau_ul	mdn_Tau_iw	Total.N.butterflies	N.sites	N.years	First.year	Last.year
Euphyes bayensis	123.049	NA	NA	NA	NA	1.028	0.05069	21.05	20.99	-0.02416	-1.506	1.451	2.957	-2.955	-24.64	24.9	49.55	NA	1	15	2000	2016
Euphyes berryi	2.414	1	0	-0.208791208791209	0.493486137243575	1.838	0.1679	19.77	19.6	0.14504	-0.6447	0.9379	1.567	0.9351	-7.183	11.083	17.69	NA	15	26	1993	2018
Euphyes bimacula	2.098	0.943162719633308	0	-0.177998472116119	0.312538443031493	0.9602	0.257	3.478	3.222	0.2805	-0.17785	0.7139	0.8891	-0.08911	-5.585	6.552	12.179	NA	37	26	1993	2018
Euphyes conspicua	1.653	0.922960559889188	0	-0.00524896114310709	0.961500959051938	1.243	0.6697	2.264	1.598	0.4031	0.04327	0.7084	0.6785	-1.39586	-6.536	4.333	10.962	NA	104	26	1993	2018
Euphyes dion	1.655	0.813154960981048	0	0.258255487640795	0.0052421755145395	1.345	0.5485	3.179	2.615	0.3034	0.01547	0.5637	0.5611	0.09687	-5.434	6.18	11.531	NA	128	26	1993	2018
Euphyes dukesi	2.224	0.752321981424149	0.000478678441592701	-0.316821465428277	0.199854666294735	0.6376	0.1102	3.598	3.489	0.631	-0.07775	1.459	1.437	0.2161	-6.637	9.182	15.783	NA	18	26	1993	2018
Euphyes pilatka	2.73	0.971767363071711	3.40047344631159e-06	-0.735742518351214	0.000145406549181315	0.5158	0.1129	2.315	2.2	0.409	-0.17277	0.9398	1.113	-3.475	-11.107	7.3278	17.94	NA	24	26	1993	2018
Euphyes vestris	1.564	0.840704929745178	0	-0.309434521446905	1.52856252424438e-08	1.825	1.0594	2.941	1.911	0.46843	0.1491	0.7776	0.6344	0.3277	-4.353	5.145	9.336	NA	383	26	1993	2018
Euptoieta claudia	1.196	0.501957549548759	0	-0.129304221099155	0.0300032381951902	1.5244	0.6957	3.236	2.562	0.5399	0.19471	0.8848	0.6808	1.1808	-4.698	7.521	11.843	NA	329	26	1993	2018
Euptoieta hegesia	1.253	1	4.96031746031746e-05	-0.0952380952380952	0.840128968253968	34.32	1.417	773.5	772	-0.3912	-1.155	0.3873	1.547	8.351	-1.1853	19.15	20.96	NA	8	26	1993	2018
Eurema boisduvaliana	73.562	0.942857142857143	0.0166666666666667	0.0857142857142857	0.919444444444444	0.2059	0.001107	14.27	14.27	0.7906	-0.3661	2.113	2.491	-0.434	-10.335	7.019	17.206	NA	6	26	1993	2018
